Organization Name,Street,City,State,Zip Code,Full Address,Latitude,Longitude,Region,Phone,Website,Agriculture,Food and Beverage,Services,Products,Healthcare,Open Entry,Loan Advice,Business Planning,Credit Health,Legal,Marketing,Finance,Operations,Leadership,Computer Skills,Bookkeeping and Accounting,Taxes,Social Media and Website,Communications,Sales,Coaching & Advising,Workshops / Training,Online Tools,English,Spanish,Mandarin,Vietnamese,Cost,Image URL
Lawyers' Committee for Civil Rights - Legal Services for Entrepreneurs,"131 Steuart Street, Suite 400",San Francisco,CA,94105,"131 Steuart Street, Suite 400 San Francisco CA 94105 ",37.7930558,-122.3924477,San Francisco Bay Area,(415) 543-9444,www.lccr.com,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,Paid,http://www.lccr.com/wp-content/themes/twentythirteen-child/images/lccr_logo.png
Local Works/Share Exchange/Made Local Marketplace,533 5th Street,Santa Rosa,CA,95401,533 5th Street Santa Rosa CA 95401 ,38.4410979,-122.7152062,Rural North,(707) 331-6850,www.localeconomyinstitute.org,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,Free,http://www.shareexchange.coop/uploads/8/3/1/7/8317548/1438647293.png
Los Angeles Latino Chamber of Commerce,"634 South Spring Street, Suite 600",Los Angeles,CA,90014,"634 South Spring Street, Suite 600 Los Angeles CA 90014 ",34.0449856,-118.2514334,Los Angeles Basin Area,(213) 347-0008,www.lalcc.org,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,Free,http://lalcc.org/wp-content/uploads/2015/03/LALCC-011.png
Main Street Launch,"2101 Webster Street, Suite 1200",Oakland,CA,94612,"2101 Webster Street, Suite 1200 Oakland CA 94612 ",37.8102987,-122.2659978,San Francisco Bay Area,(510) 763-4297,www.mainstreetlaunch.org,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,Free,http://www.mainstreetlaunch.org/wp-content/uploads/2016/03/ms-launch-color-80-retina-1.png
Marian Doub Consulting,15 Mirabel Avenue,San Francisco,CA,94110,15 Mirabel Avenue San Francisco CA 94110 ,37.7463066,-122.4174893,San Francisco Bay Area,(415) 641-6032,,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,Paid,
McKenzie Consulting,7087 Black Bart Trail,Redwood Valley,CA,95470,7087 Black Bart Trail Redwood Valley CA 95470 ,39.255304,-123.154193,Rural North,(707) 972-4837,,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,Traded,http://www.globalise.com.au/images/clientlogos/mckenzie.gif
Metro-Alliance,750 Breeze Hill Road,Vista,CA,92081,750 Breeze Hill Road Vista CA 92081 ,33.1876494,-117.2580861,San Diego Area,(760) 282-4496,,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,Free,http://travelerschampionship.com/wp-content/uploads/2014/03/hartford-logo.png
MicroEnterprise Collaborative of Inland Southern California,"AmPac TriState CDC 22365 Barton Road, Suite 210",Grand Terrace,CA,92313,"AmPac TriState CDC 22365 Barton Road, Suite 210 Grand Terrace CA 92313 ",34.0332484,-117.3167857,Inland Empire,(909) 915-1706,www.microbizinsocal.org,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,Paid,http://www.microbizinsocal.org/wp-content/uploads/2016/04/MECISC_LogoReverse-sm.png
Mission Community Services Corporation,"71 Zaca Lane, Suite 130",San Luis Obispo,CA,93401,"71 Zaca Lane, Suite 130 San Luis Obispo CA 93401 ",35.2509729,-120.6730673,Central Coast,(805) 595-1357,www.mcscorp.org,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,Traded,http://www.mcscorp.org/s/lgn2.jpg
Mission Economic Development Agency (MEDA),"2301 Mission Street, Suite 301",San Francisco,CA,94110,"2301 Mission Street, Suite 301 San Francisco CA 94110 ",37.760087,-122.418806,San Francisco Bay Area,(415) 282-3334,www.medasf.org,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,Traded,http://medasf.org/redesign/wp-content/uploads/2014/01/MEDALogo_name1.png
Multi Business Solutions,"275 5th Street, Suite 202",San Francisco,CA,94102,"275 5th Street, Suite 202 San Francisco CA 94102 ",37.7807359,-122.4035957,San Francisco Bay Area,(415) 348-6270,www.mltbz.net,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,Free,http://quickbookssupportmn.com/images/mbs700_02.jpg
National Asian American Coalition (NAAC) - Daly City,"15 Southgate Avenue, Suite 200",Daly City,CA,94015,"15 Southgate Avenue, Suite 200 Daly City CA 94015 ",37.6980249,-122.4807349,San Francisco Bay Area,(650) 952-0522,www.naacoalition.org,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,Traded,http://www.naac.org/wp-content/uploads/2016/01/NAAClogo2016_header340x107.png
North Coast Small Business Development Center (SBDC),520 E Street,Eureka,CA,95501,520 E Street Eureka CA 95501 ,40.8012096,-124.1671254,Rural North,(707) 445-9720,www.northcoastsbdc.org,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,Free,http://northcoastsbdc.org/sites/default/files/North%20Coast-SBDC_logo.jpg
"Northeastern California Small Business Development Center (SBDC), San Joaquin Delta College",56 South Lincoln Street,Stockton,CA,95203,56 South Lincoln Street Stockton CA 95203 ,37.950966,-121.29688,Sacramento Area,(209) 954-5089,www.sbdc.deltacollege.edu,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,Free,http://www.leadsbdc.org/wp-content/uploads/2012/04/Color-accredited-member.jpg
North San Diego Small Business Development Center (SBDC),1823 Mission Avenue,Oceanside,CA,92058,1823 Mission Avenue Oceanside CA 92058 ,33.2032046,-117.366185,San Diego Area,(760) 795-8740,www.sandiegosmallbiz.com,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,Paid,http://sandiegosmallbiz.com/wp-content/uploads/2015/08/logo.jpg
"Opening Doors, Inc.","1111 Howe Avenue, Suite 125",Sacramento,CA,95825,"1111 Howe Avenue, Suite 125 Sacramento CA 95825 ",38.5862611,-121.4160387,Sacramento Area,(916) 492-2591,www.openingdoorsinc.com,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,Paid,http://caflm.blogs.ca.gov/files/2011/09/Opening_Doors_logo.gif
"Operation HOPE, Inc.","707 Wilshire Boulevard, 30th Floor",Los Angeles,CA,90017,"707 Wilshire Boulevard, 30th Floor Los Angeles CA 90017 ",34.0492347,-118.2569947,Los Angeles Basin Area,(213) 891-2900,www.operationhope.org,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,Free,https://www.operationhope.org/images/uploads/Logos/HOPE-Inside-small.jpg
"Operation HOPE, Inc.- Oakland",3062 East 9th Street,Oakland,CA,94601,3062 East 9th Street Oakland CA 94601 ,37.7742401,-122.2293557,San Francisco Bay Area,(510) 535-6700,www.operationhope.org,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,Paid,https://www.operationhope.org/images/uploads/Logos/HOPE-Inside-small.jpg
Opportunity Fund,"111 West St. John Street, Suite 800",San Jose,CA,95113,"111 West St. John Street, Suite 800 San Jose CA 95113 ",37.3376007,-121.8940928,San Francisco Bay Area,(408) 297-0204,www.opportunityfund.org,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,Traded,http://www.nor-calfdc.org/upload/pages/opportunity%20fund%20partners%20logo.png
Opportunity Fund - Los Angeles,"6606 Pacific Boulevard, Suite 214",Huntington Park,CA,90255,"6606 Pacific Boulevard, Suite 214 Huntington Park CA 90255 ",33.9789709,-118.2247586,Los Angeles Basin Area,(408) 297-0204,www.opportunityfund.org,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,Paid,http://www.nor-calfdc.org/upload/pages/opportunity%20fund%20partners%20logo.png
Opportunity Fund - San Francisco,"100 Bush Street, Suite 1550",San Francisco,CA,94104,"100 Bush Street, Suite 1550 San Francisco CA 94104 ",37.7914786,-122.3999468,San Francisco Bay Area,(408) 297-0204,www.opportunityfund.org,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,Traded,http://www.nor-calfdc.org/upload/pages/opportunity%20fund%20partners%20logo.png
Orange County Small Business Development Center (SBDC),"2323 North Broadway, Suite 201",Santa Ana,CA,92706,"2323 North Broadway, Suite 201 Santa Ana CA 92706 ",33.7673604,-117.8681925,Los Angeles Basin Area,(714) 564-5200,www.ocsbdc.com,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,Paid,http://ocsbdc.org/wp-content/themes/sbdc/images/oc_logo.png
Pacific Asian Consortium in Employment (PACE),"1055 Wilshire Boulevard, Suite 900B",Los Angeles,CA,90017,"1055 Wilshire Boulevard, Suite 900B Los Angeles CA 90017 ",34.0525613,-118.2627151,Los Angeles Basin Area,(213) 353-3982,www.pacela.org,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,Traded,http://pacela.org/wp-content/uploads/2016/01/logo-300px.png
Pacific Coast Regional Small Business Development Corporation (SBDC),"3255 Wilshire Boulevard, Suite 1501",Los Angeles,CA,90010,"3255 Wilshire Boulevard, Suite 1501 Los Angeles CA 90010 ",34.0622634,-118.293217,Los Angeles Basin Area,(213) 739-2999,www.pcrcorp.org,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,Paid,"https://static.wixstatic.com/media/14dfd8_62c7544c56729dd69cb8723da5364efa.png/v1/fill/w_800,h_94,al_c,usm_0.66_1.00_0.01/14dfd8_62c7544c56729dd69cb8723da5364efa.png"
Pacific Community Ventures (BusinessAdvising.org),"51 Federal Street, Suite 100",San Francisco,CA,94107,"51 Federal Street, Suite 100 San Francisco CA 94107 ",37.783505,-122.391728,San Francisco Bay Area,(415) 442-4300,www.pacificcommunityventures.org,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,Paid,https://www.pacificcommunityventures.org/wp-content/uploads/sites/6/2015/06/pcv-logo-header2.png
Paul Terry & Associates,185 Arkansas Street,San Francisco,CA,94107,185 Arkansas Street San Francisco CA 94107 ,37.7640189,-122.3984024,San Francisco Bay Area,(415) 255-0131,www.paulterry.com,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,Paid,http://www.rxousa.com/image/data/paulterry.jpg
Prospera Community Development,"1904 Franklin Street, Suite 801",Oakland,CA,94612,"1904 Franklin Street, Suite 801 Oakland CA 94612 ",37.8073568,-122.2674248,San Francisco Bay Area,(510) 329-1065,prosperacoops.org,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,Traded,https://d36ff89f97eddeaee95d-4a6d7498c2822f0d4f092500bd8afae4.ssl.cf1.rackcdn.com/Logos/client_id_49326_logo_1455127139.0774.png
Redwood Regional Economic Development Commission,520 E Street,Eureka,CA,95501,520 E Street Eureka CA 95501 ,40.8012096,-124.1671254,Rural North,(707) 445-9651,www.rredc.com,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,Paid,http://rredc.com/sites/default/files/rredc-logo.png
Renaissance Bayview Center,1325-B Evans Avenue,San Francisco,CA,94124,1325-B Evans Avenue San Francisco CA 94124 ,37.7397851,-122.3833721,San Francisco Bay Area,(415) 647-3728,www.rencenter.org,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,Free,http://www.rencenter.org/wp-content/themes/rencenter/img/logo.png
Renaissance Entrepreneurship Center,275 5th Street,San Francisco,CA,94103,275 5th Street San Francisco CA 94103 ,37.7807359,-122.4035957,San Francisco Bay Area,(415) 541-8580,www.rencenter.org,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,Free,http://www.rencenter.org/wp-content/themes/rencenter/img/logo.png
Renaissance Mid-Peninsula,1848 Bay Road,East Palo Alto,CA,94303,1848 Bay Road East Palo Alto CA 94303 ,37.4721281,-122.1334447,San Francisco Bay Area,(650) 321-2193,www.rencenter.org,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,Free,http://www.rencenter.org/wp-content/themes/rencenter/img/logo.png
Renaissance Richmond,1500 MacDonald Avenue,Richmond,CA,94801,1500 MacDonald Avenue Richmond CA 94801 ,37.9354439,-122.355024,San Francisco Bay Area,(510) 221-2000,www.rencenter.org,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,Free,http://www.rencenter.org/wp-content/themes/rencenter/img/logo.png
RISE Financial Pathways,4060 South Figueroa Street,Los Angeles,CA,90037,4060 South Figueroa Street Los Angeles CA 90037 ,34.0099248,-118.2824779,Los Angeles Basin Area,(323) 233-1900,www.risela.org,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,Paid,http://images.huffingtonpost.com/2014-01-10-RISE.png
Riverside Small Business Development Center (SBDC),3780 Market Street,Riverside,CA,92501,3780 Market Street Riverside CA 92501 ,33.9827051,-117.3752646,Inland Empire,(951) 781-2345,www.iesmallbusiness.com,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,Free,http://www.iesmallbusiness.com/wp-content/themes/sbdc/images/ie_logo.png
Ruby Road Leadership,P.O. Box 90746,Santa Barbara,CA,93190,P.O. Box 90746 Santa Barbara CA 93190 ,34.42,-119.7,Central Coast,(805) 455-8381,,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,Paid,"https://lh3.googleusercontent.com/LIKaQ-vUEG14zHuAlAAOibKQrCtWno9fVa3rDg_0Bm0aQrp3RaRMWAWphlUTKvOPo8w=s630-fcrop64=1,003e0000ffc0ffff"
San Diego & Imperial Counties Small Business Development Centers (SBDCs),"Southwestern College 880 National City Boulevard, Suite 103",National City,CA,91950,"Southwestern College 880 National City Boulevard, Suite 103 National City CA 91950 ",32.6751517,-117.1069099,San Diego Area,(619) 482-6391,www.growmybiz.org,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,Free,http://sandiegosbdc.org/wp-content/uploads/2015/07/south-san-diego-logo.jpg
San Diego Center for International Trade Development (CITD),"Southwestern College 900 Otay Lakes Road, Building 660",Chula Vista,CA,91910,"Southwestern College 900 Otay Lakes Road, Building 660 Chula Vista CA 91910 ",32.6378381,-116.9977549,San Diego Area,(619) 482-6393,www.sandiegocitd.org,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,Free,http://citd.org/wp-content/uploads/2013/10/CITD-Logo-Statewide.jpg
San Francisco Launch,"One Market Street, Suite 3603",San Francisco,CA,94105,"One Market Street, Suite 3603 San Francisco CA 94105 ",37.7938462,-122.3948366,San Francisco Bay Area,(415) 213-8677,www.basbf.com,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,Free,http://www.mainstreetlaunch.org/wp-content/uploads/2016/03/ms-launch-color-80-retina-1.png
San Francisco LGBT Community Center,1800 Market Street,San Francisco,CA,94102,1800 Market Street San Francisco CA 94102 ,37.7717121,-122.4241032,San Francisco Bay Area,(415) 865-5555,www.sfcenter.org,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,Traded,http://www.sfcenter.org/sites/default/files/thecenterlogosmall_0.JPG
San Francisco Small Business Development Center (SBDC),"1 Dr. Carlton B. Goodlett Place, Suite 110",San Francisco,CA,94102,"1 Dr. Carlton B. Goodlett Place, Suite 110 San Francisco CA 94102 ",37.7792597,-122.4192647,San Francisco Bay Area,(415) 937-7232,sf.norcalsbdc.org,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,Free,https://sfsbdc.globalclassroom.us/portal/thumb.php?type=logobyid&id=819&v=9
San Joaquin Delta College,5151 Pacific Avenue,Stockton,CA,95207,5151 Pacific Avenue Stockton CA 95207 ,37.995364,-121.319324,Central Valley,(209) 481-9605,www.smallbusinesssector.net,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,Paid,http://www.smallbusinesssector.net/images/header_logo.jpg
San Mateo Small Business Development Center (SBDC),1700 West Hillsdale Boulevard,San Mateo,CA,94402,1700 West Hillsdale Boulevard San Mateo CA 94402 ,37.5350511,-122.335123,San Francisco Bay Area,(650) 574-6402,www.sanmateosbdc.org,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,Traded,https://media.licdn.com/media/p/8/005/054/207/039588c.png
Santa Cruz Community Credit Union,324 Front Street,Santa Cruz,CA,95060,324 Front Street Santa Cruz CA 95060 ,36.970067,-122.0236188,Central Coast,(831) 425-7708,www.scccu.org,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,Free,https://www.scccu.org/custom/scccu/image/logo.png
Search to Involve Pilipino Americans,3200-A West Temple Street,Los Angeles,CA,90026,3200-A West Temple Street Los Angeles CA 90026 ,34.0752651,-118.2816342,Los Angeles Basin Area,(213) 382-1819,www.esipa.org,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,Traded,http://www.bakitwhy.com/sites/default/files/SIPA%20Logo.jpg
Self-Help / Community Trust,"1330 Broadway, Suite 604",Oakland,CA,94612,"1330 Broadway, Suite 604 Oakland CA 94612 ",37.8039209,-122.2708265,San Francisco Bay Area,(510) 379-5540,www.self-helpfcu.org,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,Free,https://www.self-helpfcu.org/Sitefinity/WebsiteTemplates/self-help/App_Themes/self-help/img/logo.png
Self-Help / Community Trust - Porterville,182 North Main Street,Porterville,CA,93257,182 North Main Street Porterville CA 93257 ,36.0686719,-119.0158892,Central Valley,(559) 784-0324,www.self-helpfcu.org/communitytrust,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,Traded,https://www.self-helpfcu.org/Sitefinity/WebsiteTemplates/self-help/App_Themes/self-help/img/logo.png
Sierra Business Council,"10183 Truckee Airport Road, Suite 202",Truckee,CA,96161,"10183 Truckee Airport Road, Suite 202 Truckee CA 96161 ",39.3169054,-120.1461501,Sacramento Area,(530) 582-4800,sierrasbdc.com,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,Traded,http://sierrasbdc.com/assets/images/logo.png
Sierra College Center for Applied Competitive Technologies,5000 Rocklin Road,Rocklin,CA,95677,5000 Rocklin Road Rocklin CA 95677 ,38.7909582,-121.2108647,Sacramento Area,(916) 660-7801,sierracollegetraining.com,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,Free,http://additivemanufacturingtoday.com/images/articles/logos/sierra-college.jpg
Sierra Economic Development Corporation (SEDCorp),"560 Wall Street, Suite F",Auburn,CA,95603,"560 Wall Street, Suite F Auburn CA 95603 ",38.909365,-121.074902,Sacramento Area,(530) 823-4703,www.sedcorp.biz,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,Paid,https://www.nevadacitychamber.com/wp-content/uploads/2014/06/SEDCorpLogo-300x110.png
Small Business Development Centers (SBDCs) of Northern California,"1 Harpst Street, House 71",Arcata,CA,95521,"1 Harpst Street, House 71 Arcata CA 95521 ",40.876964,-124.0791722,Rural North,(707) 826-3919,www.norcalsbdc.org,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,Paid,http://www.westcompany.org/wp-content/uploads/2015/08/Mendocino_SBDC_Color.png
"State Assistance Fund for Enterprise, Business and Industrial Development Corporation (SAFE-BIDCO)","1377 Corporate Center Parkway, Suite A",Santa Rosa,CA,95407,"1377 Corporate Center Parkway, Suite A Santa Rosa CA 95407 ",38.4176701,-122.7538842,Rural North,(707) 577-8621,www.safe-bidco.com,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,Free,http://www.safe-bidco.com/enews/2013_04/images/banner_left.gif
Superior California Economic Development District,"350 Hartnell Avenue, Suite A",Redding,CA,96002,"350 Hartnell Avenue, Suite A Redding CA 96002 ",40.565781,-122.370191,Rural North,(530) 225-2760,www.scedd.org,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,Traded,http://www.scedd.org/images/spacer.gif
Susan Brown Consulting,P.O. Box 1366,Mount Shasta,CA,96067,P.O. Box 1366 Mount Shasta CA 96067 ,41.3098746,-122.3105666,Rural North,(530) 925-2530,www.susanrileybrown.com,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,Free,
Technical Resource and Assistance Center,1444 Fulton Street,Fresno,CA,93721,1444 Fulton Street Fresno CA 93721 ,36.7388761,-119.7952118,Central Valley,(559) 440-6143,www.vsbdc.com,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,Paid,http://www.vsbdc.com/wp-content/uploads/2013/05/vsbdc-logo.png
Terra Green Community Development Corporation,117 Cardigan Bay,Alameda,CA,94502,117 Cardigan Bay Alameda CA 94502 ,37.738774,-122.248003,San Francisco Bay Area,(510) 715-5659,www.terragreencdc.org,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,Paid,http://www.terragreencdc.org/yahoo_site_admin/assets/images/Terra_Green_Logo2.191111818_std.jpg
Thai Community Development Center,"6376 Yucca Street, Suite B",Los Angeles,CA,90028,"6376 Yucca Street, Suite B Los Angeles CA 90028 ",34.1037094,-118.3291788,Los Angeles Basin Area,(323) 468-2555,www.thaicdc.org,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,Traded,http://thaicdc.org/wp-content/uploads/2015/03/thaicdclargelogo.jpg
The Jonas Project,425 East 4th Street,Long Beach,CA,90802,425 East 4th Street Long Beach CA 90802 ,33.7719195,-118.186856,Los Angeles Basin Area,(323) 600-4718,www.thejonasproject.org,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,Paid,http://thejonasproject.org/wp-content/uploads/2013/03/cropped-tjp_logo1.png
The Jonas Project - Bay Area,171 Alma Street,Palo Alto,CA,94301,171 Alma Street Palo Alto CA 94301 ,37.4461324,-122.167777,San Francisco Bay Area,,thejonasproject.org,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,Free,http://thejonasproject.org/wp-content/uploads/2013/03/cropped-tjp_logo1.png
TMC Development Working Solutions,1500 Mission Street,San Francisco,CA,94103,1500 Mission Street San Francisco CA 94103 ,37.7743989,-122.4179095,San Francisco Bay Area,(415) 655-5473,www.workingsolutions.org,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,Paid,http://static1.squarespace.com/static/5320e3ede4b004631b758690/t/534f0ee8e4b0021ca5369586/1468003343806/?format=1500w
TMC Development Working Solutions - North Bay,San Rafael Chamber 817 Mission Avenue,San Rafael,CA,94901,San Rafael Chamber 817 Mission Avenue San Rafael CA 94901 ,37.9742413,-122.524258,San Francisco Bay Area,(415) 655-5445,www.workingsolutions.org,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,Traded,http://static1.squarespace.com/static/5320e3ede4b004631b758690/t/534f0ee8e4b0021ca5369586/1468003343806/?format=1500w
Tuolumne County Economic Development Authority (TCEDA),99 North Washington Street,Sonora,CA,95370,99 North Washington Street Sonora CA 95370 ,37.9866217,-120.3839096,Sacramento Area,(209) 989-4058,www.tceda.net,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,Paid,http://tceda.net/wp-content/uploads/2015/07/TCEDA_Black-e1435873422116.png
UC Merced Small Business Development Center (SBDC),"550 East Shaw Avenue, Suite 100",Fresno,CA,93710,"550 East Shaw Avenue, Suite 100 Fresno CA 93710 ",36.809296,-119.7783637,Central Valley,(559) 241-7414,sbdc.ucmerced.edu,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,Traded,http://sbdc.ucmerced.edu/sites/sbdc.ucmerced.edu/files/images/ucm_color_logo_appropriately_sized_for_web_use.jpg
Uptima Business Bootcamp,2323 Broadway,Oakland,CA,94612,2323 Broadway Oakland CA 94612 ,37.8126403,-122.2665668,San Francisco Bay Area,(510) 227-7027,uptimabootcamp.com,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,Paid,http://uptimabootcamp.com/wp-content/uploads/2016/01/lg-uptima.svg
Urban FIRE,6031 Christie Avenue,Emeryville,CA,94608,6031 Christie Avenue Emeryville CA 94608 ,37.840846,-122.29517,San Francisco Bay Area,(510) 919-1683,,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,Paid,https://lh3.googleusercontent.com/-3X9FQ8_XZTw/VFOJV8Rwa0I/AAAAAAAAABU/OMvhzqx1Isg/w677-h677/UF%2BBlack%2BRetina%2Blogo%2B200x200-01.jpg
Urban Solutions,"1167 Mission Street, Suite 200",San Francisco,CA,94103,"1167 Mission Street, Suite 200 San Francisco CA 94103 ",37.777845,-122.4123894,San Francisco Bay Area,(415) 553-4433,www.urbansolutionssf.org,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,Paid,http://www.urbansolutionssf.org/wp-content/uploads/2015/01/Urban-Solutions-Logo-Updated.png
Valley Small Business Development Corporation,7035 North Fruit Avenue,Fresno,CA,93711,7035 North Fruit Avenue Fresno CA 93711 ,36.837921,-119.8178768,Central Valley,(559) 438-9680,www.vsbdc.com,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,Traded,http://www.vsbdc.com/wp-content/uploads/2013/05/vsbdc-logo.png
